fid_,waarneming,euring,soortid,datum,tijdstip,blok,aantal,id_type_wa,aktid,broedcode,jaar,dtkey,overvliege,naam,x,y
5954404.0,314317720.0,8310,37,2024-06-13,15:20,FS58C,2,1,3051,13,2024,613,0,IJsvogel,205181.71779999882,218804.85020000115
5958011.0,277927222.0,8310,37,2023-06-25,09:30,FS58C,1,1,3117,6,2023,625,0,IJsvogel,205202.54609999806,218718.13329999894
5974610.0,272147639.0,8310,37,2023-05-16,13:58,FS36B,1,92,3117,6,2023,516,0,IJsvogel,193514.9499000013,201248.3588999994
5975851.0,234224449.0,8310,37,2022-02-24,10:16,FS36B,2,92,3118,5,2022,224,0,IJsvogel,193809.15250000358,202944.81659999862
5984138.0,244732077.0,8310,37,2022-06-09,10:59,FS36B,2,92,25,7,2022,609,0,IJsvogel,193781.04609999806,202736.9048999995
5987142.0,192869098.0,8310,37,2020-05-31,09:21,FS37D,1,92,3117,6,2020,531,0,IJsvogel,189588.95799999684,211065.33590000123
5987929.0,216026495.0,8310,37,2021-06-04,00:00,FS37D,2,92,3051,13,2021,604,0,IJsvogel,189643.47309999913,211096.3103
5988954.0,192925409.0,8310,37,2020-05-31,07:56,FS37D,1,92,25,7,2020,531,0,IJsvogel,190250.7179000005,209773.003800001
5989487.0,190246037.0,8310,37,2020-05-03,07:46,FS37D,1,92,25,7,2020,503,0,IJsvogel,189767.46809999645,208624.63870000094
5991282.0,191911546.0,8310,37,2020-05-20,,FS37D,1,1,3116,14,2020,520,0,IJsvogel,189765.84139999747,209525.6563999988
6002930.0,252976531.0,8310,37,2022-08-22,09:28,FS37D,1,92,3124,10,2022,822,0,IJsvogel,193855.72450000048,210615.9208999984
6024455.0,247040617.0,8310,37,2022-06-25,09:39,FS47C,1,92,25,7,2022,625,0,IJsvogel,197859.7168999985,206946.54850000143
6056002.0,194364009.0,8310,37,2020-06-18,10:08,FS28B,2,1,3121,12,2020,618,0,IJsvogel,184533.21819999814,225045.29439999908
6112734.0,187238451.0,8310,37,2020-03-26,10:28,FS37A,1,1,3116,14,2020,326,0,IJsvogel,184771.3320999965,213385.7958999984
6114675.0,299115760.0,8310,37,2024-02-17,10:40,FS37A,1,92,3118,5,2024,217,0,IJsvogel,184811.36519999802,213402.0887000002
6173470.0,193044750.0,8310,37,2020-06-01,09:43,FS37B,1,92,3124,10,2020,601,0,IJsvogel,189825.11999999732,211421.9550999999
6178580.0,213889473.0,8310,37,2021-05-16,07:37,FS37B,1,1,28,6,2021,516,0,IJsvogel,193425.48700000346,213953.1708999984
6191270.0,279624958.0,8310,37,2023-07-08,14:43,FS37B,1,92,3120,11,2023,708,0,IJsvogel,192121.6202000007,212159.9215000011
6195932.0,190710701.0,8310,37,2020-05-07,18:13,FS38A,1,92,25,7,2020,507,0,IJsvogel,185648.26789999753,225374.12469999865
6197149.0,196493491.0,8310,37,2020-07-18,20:00,FS38A,1,92,3116,14,2020,718,0,IJsvogel,187650.43299999833,224357.07770000026
6209294.0,264929692.0,8310,37,2023-03-10,14:03,FS38B,1,1,25,7,2023,310,0,IJsvogel,190382.27130000293,222368.7725000009
